ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"111.125.242.34","transparent","AS24554","IN","NIXI","193","Five Network Solution India Limited","80","http","27590","100","38","38","2025-01-04T08:27:17.155Z","538"
"5.9.144.19","elite","AS24940","DE","Hetzner Online GmbH","80","Hetzner","24940","socks5","1","88","7713","8719","2025-01-04T08:27:17.168Z","3300"
"125.141.139.112","elite","AS4766","KR","Korea Telecom","285","KORNET","5566","socks4","1","96","1611","1684","2025-01-04T08:27:17.163Z","3994"
"162.240.147.141","elite","AS46606","US","Unified Layer","193","Unified Layer","44487","socks4","1","98","1980","2024","2025-01-04T08:27:17.463Z","1507"
"187.95.82.57","elite","AS262696","BR","Turbonet Telecomunicações","194","Turbonet Telecomunicações","26269","socks4","1","99","8655","8740","2025-01-04T08:27:17.462Z","3707"
"121.134.198.156","elite","AS4766","KR","Korea Telecom","284","N/A","4145","socks4","1","34","2968","8817","2025-01-04T08:27:17.071Z","729"
"103.86.200.48","elite","AS136416","BD","Sorob IT LTD","196","Sorob IT LTD","5678","socks5","1","98","8490","8684","2025-01-04T08:27:17.464Z","716"
"89.31.143.12","elite","AS202108","DE","united-domains AG","18","United Domains via NorthC Deutschland GmbH","80","socks4","1","100","8701","8702","2025-01-04T08:27:17.160Z","5294"
"124.41.240.203","elite","AS17501","NP","WorldLink Communications","268","N/A","37704","socks4","1","100","1279","1284","2025-01-04T08:27:17.166Z","636"
"70.34.222.80","elite","AS20473","SE","The Constant Company","82","Vultr","1080","socks5","1","47","4132","8735","2025-01-04T08:27:17.162Z","5395"
"75.119.206.48","elite","AS26347","US","New Dream Network, LLC","184","New Dream Network, LLC","15745","socks4","1","73","6404","8781","2025-01-04T08:27:17.158Z","2004"
"62.201.212.198","elite","AS44217","IQ","NETWORKS-SULY1","77","N/A","4673","socks4","1","99","1852","1871","2025-01-04T08:27:17.164Z","4008"
"46.101.239.193","elite","AS14061","DE","DigitalOcean, LLC","30","Digital Ocean","80","socks4","1","48","725","1499","2025-01-04T08:27:17.072Z","1793"
"186.216.198.206","elite","AS52973","BR","YIPI Telecom LTDA.","194","YIPI Telecom LTDA","4153","socks4","1","94","1742","1849","2025-01-04T08:27:17.159Z","3586"
